10.0	18.0	18.0	18.0	28.0	54.0	54.0
9.8	17.5	17.7	17.8	27.5	0	0
9.1	16.0	16.7	17.1	26.2	50.8	50.9
8.2	14.1	15.3	16.1	24.4	0	0
7.1	12.2	13.8	14.9	22.3	44.7	45.2
6.1	10.6	12.3	13.6	20.4	0	0
5.2	9.4	11.0	12.3	18.7	38.9	39.6
4.4	8.6	9.9	11.2	17.3	0	0
3.8	8.0	9.0	10.3	16.0	29.0	30.0
2.9	7.3	7.9	8.8	13.8	29.0	30.0
2.3	6.6	7.1	7.6	12.1	25.4	26.3
2.0	6.0	6.5	6.7	10.7	22.5	23.9
